[22-Feb-2023 07:04:29 UTC] PHP Parse error:  syntax error, unexpected '}' in /var/www/html/learning-task/wp-content/themes/twentytwentyone-child/functions.php on line 311
[22-Feb-2023 07:13:55 UTC] PHP Warning:  Declaration of loggmax_class_walker::end_lvl(&$output, $depth) should be compatible with Walker_Nav_Menu::end_lvl(&$output, $depth = 0, $args = NULL) in /var/www/html/learning-task/wp-content/themes/twentytwentyone-child/functions.php on line 47
[22-Feb-2023 07:13:55 UTC] PHP Warning:  Declaration of loggmax_class_walker::start_lvl(&$output, $depth) should be compatible with Walker_Nav_Menu::start_lvl(&$output, $depth = 0, $args = NULL) in /var/www/html/learning-task/wp-content/themes/twentytwentyone-child/functions.php on line 40
[22-Feb-2023 07:13:55 UTC] PHP Warning:  Declaration of loggmax_class_walker::end_lvl(&$output, $depth) should be compatible with Walker_Nav_Menu::end_lvl(&$output, $depth = 0, $args = NULL) in /var/www/html/learning-task/wp-content/themes/twentytwentyone-child/functions.php on line 47
[22-Feb-2023 07:14:43 UTC] PHP Warning:  Declaration of loggmax_class_walker::start_lvl(&$output, $depth) should be compatible with Walker_Nav_Menu::start_lvl(&$output, $depth = 0, $args = NULL) in /var/www/html/learning-task/wp-content/themes/twentytwentyone-child/functions.php on line 40
[22-Feb-2023 07:14:43 UTC] PHP Warning:  Declaration of loggmax_class_walker::end_lvl(&$output, $depth) should be compatible with Walker_Nav_Menu::end_lvl(&$output, $depth = 0, $args = NULL) in /var/www/html/learning-task/wp-content/themes/twentytwentyone-child/functions.php on line 47
[22-Feb-2023 07:14:45 UTC] PHP Warning:  Declaration of loggmax_class_walker::start_lvl(&$output, $depth) should be compatible with Walker_Nav_Menu::start_lvl(&$output, $depth = 0, $args = NULL) in /var/www/html/learning-task/wp-content/themes/twentytwentyone-child/functions.php on line 40
[22-Feb-2023 07:14:45 UTC] PHP Warning:  Declaration of loggmax_class_walker::end_lvl(&$output, $depth) should be compatible with Walker_Nav_Menu::end_lvl(&$output, $depth = 0, $args = NULL) in /var/www/html/learning-task/wp-content/themes/twentytwentyone-child/functions.php on line 47
[22-Feb-2023 07:14:56 UTC] PHP Warning:  Declaration of loggmax_class_walker::start_lvl(&$output, $depth) should be compatible with Walker_Nav_Menu::start_lvl(&$output, $depth = 0, $args = NULL) in /var/www/html/learning-task/wp-content/themes/twentytwentyone-child/functions.php on line 40
[22-Feb-2023 07:14:56 UTC] PHP Warning:  Declaration of loggmax_class_walker::end_lvl(&$output, $depth) should be compatible with Walker_Nav_Menu::end_lvl(&$output, $depth = 0, $args = NULL) in /var/www/html/learning-task/wp-content/themes/twentytwentyone-child/functions.php on line 47
[22-Feb-2023 07:14:56 UTC] PHP Warning:  Declaration of loggmax_class_walker::start_lvl(&$output, $depth) should be compatible with Walker_Nav_Menu::start_lvl(&$output, $depth = 0, $args = NULL) in /var/www/html/learning-task/wp-content/themes/twentytwentyone-child/functions.php on line 40
[22-Feb-2023 07:14:56 UTC] PHP Warning:  Declaration of loggmax_class_walker::end_lvl(&$output, $depth) should be compatible with Walker_Nav_Menu::end_lvl(&$output, $depth = 0, $args = NULL) in /var/www/html/learning-task/wp-content/themes/twentytwentyone-child/functions.php on line 47
[22-Feb-2023 07:14:56 UTC] PHP Warning:  Declaration of loggmax_class_walker::start_lvl(&$output, $depth) should be compatible with Walker_Nav_Menu::start_lvl(&$output, $depth = 0, $args = NULL) in /var/www/html/learning-task/wp-content/themes/twentytwentyone-child/functions.php on line 40
[22-Feb-2023 07:14:56 UTC] PHP Warning:  Declaration of loggmax_class_walker::end_lvl(&$output, $depth) should be compatible with Walker_Nav_Menu::end_lvl(&$output, $depth = 0, $args = NULL) in /var/www/html/learning-task/wp-content/themes/twentytwentyone-child/functions.php on line 47
